URL,Người bán,Loại người bán,Số phòng ngủ,Hướng,Kiểu nhà,Giá,Giá mỗi m2,Diện tích,Giấy tờ pháp lý,Số phòng vệ sinh,Tình trạng nội thất,Số tầng,Đường/Phố,Phường/Xã/Thị trấn,Quận/Huyện,Thành phố
https://www.nhatot.com/mua-ban-nha-dat-quan-ha-dong-ha-noi/125841471.htm#px=SR-stickyad-[PO-1][PL-top],Mr Tuấn Anh,Cá nhân,4,Hướng Đông Nam,"Nhà mặt phố, mặt tiền",13.99,142.76,98.0,Đã có sổ,2,Nội thất đầy đủ,0,Ngõ 152 Quyết Thắng,Phường Yên Nghĩa,Quận Hà Đông,Hà Nội
https://www.nhatot.com/mua-ban-can-ho-chung-cu-huyen-gia-lam-ha-noi/125776347.htm#px=SR-stickyad-[PO-1][PL-top],Nguyễn Thế Anh,Môi Giới,2,Không rõ,Chung cư,3.18,57.82,55.0,Sổ hồng riêng,Không rõ,Không rõ,0,Yên Viên,Thị trấn Trâu Quỳ,Huyện Gia Lâm,Hà Nội
https://www.nhatot.com/mua-ban-can-ho-chung-cu-quan-nam-tu-liem-ha-noi/124772827.htm#px=SR-stickyad-[PO-1][PL-top],Phuong Linh,Môi Giới,1,Không rõ,Chung cư,1.48,38.95,38.0,Sổ hồng riêng,1,Nội thất cao cấp,0,Đường Mỹ Đình,Phường Mỹ Đình 1,Quận Nam Từ Liêm,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/125810768.htm#px=SR-stickyad-[PO-1][PL-top],Quang,Cá nhân,3,Không rõ,"Nhà ngõ, hẻm",4.68,260.0,18.0,Đã có sổ,3,Hoàn thiện cơ bản,4,Phố Đoàn Thị Điểm,Phường Quốc Tử Giám,Quận Đống Đa,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-long-bien-ha-noi/125580989.htm#px=SR-stickyad-[PO-1][PL-top],Thanh Khiem Nguyen,Cá nhân,5,Hướng Đông Nam,Nhà biệt thự,28.5,197.92,144.0,Đã có sổ,5,Nội thất đầy đủ,3,Thạch Bàn,Phường Thạch Bàn,Quận Long Biên,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-nam-tu-liem-ha-noi/125883765.htm,Mr Tâm,Môi Giới,4,Không rõ,"Nhà ngõ, hẻm",6.4,139.13,46.0,Đã có sổ,Không rõ,Nội thất đầy đủ,3,Đường Xuân Phương,Phường Xuân Phương,Quận Nam Từ Liêm,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-ba-dinh-ha-noi/125883762.htm#px=SR-special_display_ad-[PO-1][PL-default],Trịnh Thanh Huyền,Môi Giới,2,Không rõ,"Nhà ngõ, hẻm",2.3,164.29,14.0,Đã có sổ,1,Nội thất đầy đủ,0,Phố Ngọc Hà,Phường Ngọc Hà,Quận Ba Đình,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-thanh-xuan-ha-noi/125883737.htm,Hằng Nhà Đất,Môi Giới,10,Không rõ,"Nhà ngõ, hẻm",10.9,242.22,45.0,Đã có sổ,6+,Nội thất đầy đủ,6,Phố Bùi Xương Trạch,Phường Khương Đình,Quận Thanh Xuân,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-hai-ba-trung-ha-noi/124941309.htm,Phương Anh Lê,Cá nhân,2,Không rõ,"Nhà mặt phố, mặt tiền",17.8,222.5,80.0,Đã có sổ,Không rõ,Không rõ,0,Phố Lê Thanh Nghị,Phường Bách Khoa,Quận Hai Bà Trưng,Hà Nội
https://www.nhatot.com/mua-ban-nha-dat-quan-dong-da-ha-noi/121440103.htm,Tuấn Khanh,Môi Giới,4,Không rõ,"Nhà ngõ, hẻm",7.1,157.78,45.0,Đã có sổ,Không rõ,Không rõ,0,Ngõ Thịnh Hào 2,Phường Hàng Bột,Quận Đống Đa,Hà Nội
